Run,Epoch,Train Loss,Val Loss,Val Acc (%),Val F1,Val ROC-AUC,New Best Model
Without Early Stopping,2,0.140219,0.049306,97.80,0.9867,0.9997,Yes
Without Early Stopping,3,0.113170,0.180741,95.15,0.9704,0.9939,No
Without Early Stopping,4,0.021982,0.056263,98.24,0.9895,0.9980,Yes
Without Early Stopping,5,0.053431,0.032870,98.24,0.9894,0.9997,No
Without Early Stopping,6,0.061378,0.152767,97.80,0.9871,0.9843,No
Without Early Stopping,7,0.000153,0.246252,97.36,0.9840,0.9983,No
Without Early Stopping,8,0.019992,0.300291,96.48,0.9786,0.9951,No
Without Early Stopping,9,0.005959,0.052999,98.24,0.9895,0.9983,No
Without Early Stopping,10,0.000100,0.054776,98.24,0.9895,0.9983,No
Without Early Stopping,11,0.000001,0.060114,98.68,0.9921,0.9983,Yes
With Early Stopping,1,0.331784,0.081745,95.61,0.9741,0.9933,Yes
With Early Stopping,2,0.116234,0.567935,95.61,0.9749,0.9406,No
With Early Stopping,3,0.190538,0.191043,98.25,0.9897,0.9660,Yes
With Early Stopping,4,0.017226,0.110120,97.37,0.9845,0.9945,No
With Early Stopping,5,0.057150,0.102353,95.61,0.9749,0.9982,No
With Early Stopping,6,0.099987,0.018944,99.12,0.9949,0.9994,Yes
